VehClass,VehSubClass.Fuel_Tech,Automation,Ref,Baseline,X,X,X,A_Low_Automation,A_Low,X,X,X,A2_Low_Automation,A_High,X,X,X,B_Low_Automation,B_Low,C_Low_Automation,C_Low,X,C2_Low_Automation,B_High,C_High
#,VehSubClass.Fuel_Tech,Automation,Ref,Baseline,,,,Scenatrio A,Scenatrio A,,,,Scenatrio A2,Scenatrio A2,,,,Scenario B & C,Scenario B & C,Scenario B & C,Scenario B & C,,Scenario B & C,Scenario B & C,Scenario B & C
#,,,,,,,,Low Automation,Low,,,,Low Automation,High,,,,Low Automation,Low,Low Automation,Low,,Low Automation,High,High
MDV_HDV,Class4Delivery-BEV_BEV,Full,,,,,,,,,,,,,,,,,,,,,,0.04,0.04
MDV_HDV,Class6P&D-Diesel_Conventional,No,,0.2,,,,0.15,0.1,,,,0.1,0.08,,,,0.08,0.06,0.08,0.06,,0.06,0.04,0.04
MDV_HDV,Class6P&D-Diesel_Conventional,Partial,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class6P&D-Diesel_Conventional,Full,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class6P&D-Diesel_Conv48V,No,,,,,,0.05,0.1,,,,0.1,0.08,,,,0.08,0.06,0.08,0.06,,0.06,0.06,0.06
MDV_HDV,Class6P&D-Diesel_Conv48V,Partial,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class6P&D-Diesel_Conv48V,Full,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class6P&D-Diesel_HEV,No,,,,,,,,,,,,0.04,,,,0.04,0.06,0.04,0.06,,0.06,0.06,0.06
MDV_HDV,Class6P&D-Diesel_HEV,Partial,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class6P&D-Diesel_HEV,Full,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class6P&D-Diesel_PHEV,No,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class6P&D-Diesel_PHEV,Partial,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class6P&D-Diesel_PHEV,Full,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class6P&D-BEV_BEV,No,,,,,,,,,,,,,,,,,0.02,,0.02,,,,
MDV_HDV,Class6P&D-BEV_BEV,Partial,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,Class6P&D-BEV_BEV,Full,,,,,,,,,,,,,,,,,,,,,0.02,0.04,0.04
MDV_HDV,TransitBus-Diesel_Conventional,No,,0.025,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,TransitBus-Diesel_Conventional,Partial,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,TransitBus-Diesel_Conventional,Full,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,TransitBus-Diesel_HEV,No,,0.025,,,,0.05,0.05,,,,0.05,0.03,,,,0.03,0.02,0.03,0.02,,,,
MDV_HDV,TransitBus-Diesel_HEV,Partial,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,TransitBus-Diesel_HEV,Full,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,TransitBus-Diesel_PHEV,No,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,TransitBus-Diesel_PHEV,Partial,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,TransitBus-Diesel_PHEV,Full,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,TransitBus-BEV_BEVShortRange,No,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,TransitBus-BEV_BEVShortRange,Partial,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,TransitBus-BEV_BEVShortRange,Full,,,,,,,,,,,,,,,,,,,,,,,
MDV_HDV,TransitBus-BEV_BEV,No,,,,,,,,,,,,0.02,,,,0.02,0.03,0.02,0.03,,,,
MDV_HDV,TransitBus-BEV_BEV,Partial,,,,,,,,,,,,,,,,,,,,,,,
