Sector,Parameter,Qualifier,Class_Powertrain,Baseline,Baseline-Short-Term Base,Baseline-Short-Term Low,Baseline-Short-Term High,Baseline-Long-Term Base,Baseline-Long-Term Low,Baseline-Long-Term High,A_Low Sharing Is Caring,A_High Sharing Is Caring,B_Low Technology Takes Over,B_High Technology Takes Over,C_Low All About Me,C_High All About Me
# Sector,Parameter,Qualifier,Class_Powertrain,Baseline,Baseline Short-Term,Baseline Short-Term,Baseline Short-Term,Baseline-LongTerm,Baseline-LongTerm,Baseline-LongTerm,A_Low Sharing Is Caring,A_High Sharing Is Caring,B_Low Technology Takes Over,B_High Technology Takes Over,C_Low All About Me,C_High All About Me
# ,,,,,Base,Low ,High,Base,Low,High,Low,High,Low,High,Low,High
General,Land Use,,,Baseline,Short term baseline,Short term baseline,Short term baseline,Long term baseline,Long term baseline,Long term baseline,Short term,Short term,Long Term,Long Term,Long Term,Long Term
"# Freight
# Freight
# Freight
# Freight
# Freight
# Freight",Market Penetration,Classes,,"Class 3 Box (13%)
Class 3 Shuttle (2%)
Class 4 Delivery (20%)
Class 6 P&D (20%)
Transit Bus (5%)
Line Haul (40%)","Class 3 Box (13%)
Class 3 Shuttle (2%)
Class 4 Delivery (20%)
Class 6 P&D (20%)
Transit Bus (5%)
Line Haul (40%)","Class 3 Box (13%)
Class 3 Shuttle (2%)
Class 4 Delivery (20%)
Class 6 P&D (20%)
Transit Bus (5%)
Line Haul (40%)","Class 3 Box (13%)
Class 3 Shuttle (2%)
Class 4 Delivery (20%)
Class 6 P&D (20%)
Transit Bus (5%)
Line Haul (40%)","Class 3 Box (13%)
Class 3 Shuttle (2%)
Class 4 Delivery (20%)
Class 6 P&D (20%)
Transit Bus (5%)
Line Haul (40%)","Class 3 Box (13%)
Class 3 Shuttle (2%)
Class 4 Delivery (20%)
Class 6 P&D (20%)
Transit Bus (5%)
Line Haul (40%)","Class 3 Box (13%)
Class 3 Shuttle (2%)
Class 4 Delivery (20%)
Class 6 P&D (20%)
Transit Bus (5%)
Line Haul (40%)","Class 3 Box (13%)
Class 3 Shuttle (2%)
Class 4 Delivery (20%)
Class 6 P&D (20%)
Transit Bus (5%)
Line Haul (40%)","Class 3 Box (13%)
Class 3 Shuttle (2%)
Class 4 Delivery (20%)
Class 6 P&D (20%)
Transit Bus (5%)
Line Haul (40%)","Class 3 Box (13%)
Class 3 Shuttle (2%)
Class 4 Delivery (20%)
Class 6 P&D (20%)
Transit Bus (5%)
Line Haul (40%)","Class 3 Box (13%)
Class 3 Shuttle (2%)
Class 4 Delivery (20%)
Class 6 P&D (20%)
Transit Bus (5%)
Line Haul (40%)","Class 3 Box (13%)
Class 3 Shuttle (2%)
Class 4 Delivery (20%)
Class 6 P&D (20%)
Transit Bus (5%)
Line Haul (40%)","Class 3 Box (13%)
Class 3 Shuttle (2%)
Class 4 Delivery (20%)
Class 6 P&D (20%)
Transit Bus (5%)
Line Haul (40%)"
Freight,Market Penetration,Classes,Class3Box,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
Freight,Market Penetration,Classes,Class3Shuttle,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Freight,Market Penetration,Classes,Class4Delivery,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Freight,Market Penetration,Classes,Class6P&D,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Freight,Market Penetration,Classes,TransitBus,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Freight,Market Penetration,Classes,Class8_LineHaul,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"# Freight
# Freight
# Freight
# Freight
# Freight
# Freight
# Freight",Market Penetration,Powertrains,,"Conv gas (15%)
Conv gas 48V (0%)
Conv diesel (82.5%)
Conv diesel 48V (0%)
HEV (2.5%)
PHEV (0%)
BEV (0%)","Conv gas (15%)
Conv gas 48V (0%)
Conv diesel (82.5%)
Conv diesel 48V (0%)
HEV (2.5%)
PHEV (0%)
BEV (0%)","Conv gas (12%)
Conv gas 48V (3%)
Conv diesel (60%)
Conv diesel 48V (10%)
HEV (5%)
PHEV (0%)
BEV (0%)","Conv gas (7%)
Conv gas 48V (6%)
Conv diesel (56%)
Conv diesel 48V (20%)
HEV (13%)
PHEV (0%)
BEV (2%)","Conv gas (15%)
Conv gas 48V (0%)
Conv diesel (82.5%)
Conv diesel 48V (0%)
HEV (2.5%)
PHEV (0%)
BEV (0%)","Conv gas (0%)
Conv gas 48V (5%)
Conv diesel (52%)
Conv diesel 48V (16%)
HEV (20%)
PHEV (0%)
BEV (11%)","Conv gas (0%)
Conv gas 48V (5%)
Conv diesel (44%)
Conv diesel 48V (12%)
HEV (22%)
PHEV (4%)
BEV (15%)","Conv gas (12%)
Conv gas 48V (3%)
Conv diesel (60%)
Conv diesel 48V (10%)
HEV (5%)
PHEV (0%)
BEV (0%)","Conv gas (7%)
Conv gas 48V (6%)
Conv diesel (56%)
Conv diesel 48V (20%)
HEV (13%)
PHEV (0%)
BEV (2%)","Conv gas (0%)
Conv gas 48V (5%)
Conv diesel (52%)
Conv diesel 48V (16%)
HEV (20%)
PHEV (0%)
BEV (11%)","Conv gas (0%)
Conv gas 48V (5%)
Conv diesel (44%)
Conv diesel 48V (12%)
HEV (22%)
PHEV (4%)
BEV (15%)","Conv gas (0%)
Conv gas 48V (5%)
Conv diesel (52%)
Conv diesel 48V (16%)
HEV (20%)
PHEV (0%)
BEV (11%)","Conv gas (0%)
Conv gas 48V (5%)
Conv diesel (44%)
Conv diesel 48V (12%)
HEV (22%)
PHEV (4%)
BEV (15%)"
Freight,Market Penetration,Powertrains,Gas-Conventional,0.15,0.15,0.12,0.07,0.15,0,0,0.12,0.07,0,0,0,0
Freight,Market Penetration,Powertrains,Gas_Conv-48V,0,0,0.03,0.06,0,0.05,0.05,0.03,0.06,0.05,0.05,0.05,0.05
Freight,Market Penetration,Powertrains,Diesel-Conventional,0.825,0.825,0.6,0.56,0.825,0.52,0.44,0.6,0.56,0.52,0.44,0.52,0.44
